address,location,type,price,listing_image,beds,baths,half_baths,square_feet,brokerage,attribution
"West 54th Street, Manhattan, NY 10019",HELLS KITCHEN,CONDO,7230,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145175/53041125?w=3840&q=75,2,2,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Riverside Boulevard, Manhattan, NY 10069",LINCOLN SQ,CONDO,4400,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145172/53038953?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"1227 Dean Street, 3, Brooklyn, NY 11216",CROWN HEIGHTS,CONDO,4000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137450/48189894?w=3840&q=75,3,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 43rd Street, Manhattan, NY 10036",HELLS KITCHEN,CONDO,5490,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145168/53032371?w=3840&q=75,2,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"498 Sixth Avenue, 4, Manhattan, NY 10011",GREENWICH VILLAGE,CONDO,6000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137447/48186856?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of R New York,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"779 Williams Avenue, 2, Brooklyn, NY 11207",EAST NEW YORK,TOWNHOUSE,3000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,3,2,Not listed,Not listed,Courtesy of Highline Residential Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"145 East 16th Street, 2F, Manhattan, NY 10003",GRAMERCY,CONDO,3550,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137442/48184958?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"307 Mott Street, 2A, Manhattan, NY 10012",NOHO,CONDO,3850,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137441/48185012?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"145 West 67th Street, 45H, Manhattan, NY 10023",LINCOLN SQUARE,CONDO,7500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137440/48184711?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"162 East 55th Street, 6F, Manhattan, NY 10022",MIDTOWN EAST,CONDO,2600,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137436/48184627?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"West 48th Street, Manhattan, NY 10036",MIDTOWN,CONDO,5230,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145155/53030089?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"17 West 125th Street, 4D, Manhattan, NY 10027",CENTRAL HARLEM,CONDO,2195,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137430/48188178?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Bond New York Properties Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"123 3rd Place, 2R, Brooklyn, NY 11231",CARROLL GARDENS,CONDO,4200,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137429/48182788?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"17 West 125th Street, 5L, Manhattan, NY 10027",CENTRAL HARLEM,CONDO,2584,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137428/48188170?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Bond New York Properties Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"123 3rd Place, 1R, Brooklyn, NY 11231",CARROLL GARDENS,CONDO,4500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137422/48179982?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"66 Rockwell Place, 14CROC, Brooklyn, NY 11217",FORT GREENE,CONDO,5040,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137413/48176611?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"405 East 54th Street, 5H, Manhattan, NY 10022",SUTTON PLACE,CONDO,4975,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137412/48180993?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Rose Associates Inc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"350 Clarkson Avenue, 302, Brooklyn, NY 11226",PROSPECT LEFFERTS GARDENS,CONDO,3150,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137411/48176058?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"438 East 12th Street, 5E, Manhattan, NY 10009",E. GREENWICH VILLAGE,CONDO,7100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137407/48181272?w=3840&q=75,1,2,1,Not listed,Courtesy of Elegran Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"70 West 71st Street, 2A, Manhattan, NY 10023",LINCOLN SQ,CONDO,3250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137405/48175126?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"462 Warren Street, 2, Brooklyn, NY 11217",BOERUM HILL,CONDO,5450,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137404/48174859?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"310 West 52nd Street, 14A, Manhattan, NY 10019",HELLS KITCHEN,CONDO,4800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137401/48194990?w=3840&q=75,1,2,1,Not listed,Courtesy of Manhattan Boutique Real Estate Inc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"185 Christopher Street, 3R, Manhattan, NY 10014",WEST VILLAGE,CONDO,2700,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137400/48172295?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Compass,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"305 West 72nd Street, 5C, Manhattan, NY 10023",UPPER WEST SIDE,CO-OP,6700,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137399/48188189?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Baddour Group Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"55 West 25th Street, 30B, Manhattan, NY 10010",NOMAD,CONDO,5795,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137398/48191400?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Rose Associates Inc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"48th Avenue, Queens, NY 11109",HUNTERS POINT,CONDO,6430,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145116/53016995?w=3840&q=75,2,2,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Washington Street, Manhattan, NY 10006",FINANCIAL DISTRICT,CONDO,5460,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145115/53025449?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 48th Street, Manhattan, NY 10017",TURTLE BAY,CONDO,6640,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145114/53016708?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"165 Bennett Avenue, 5D, Manhattan, NY 10040",WASHINGTON HEIGHTS,CONDO,2000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137396/48188195?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Living New York,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Third Avenue, Manhattan, NY 10010",GRAMERCY,CONDO,6680,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/145110/53013156?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"297 West 137th Street, B, Manhattan, NY 10030",CENTRAL HARLEM,CONDO,4295,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7731928/mediarouting.vestahub.com/Media/140605049?w=3840&q=75,3,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"16 West 19th Street, 6D, Manhattan, NY 10011",FLATIRON,CONDO,4250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7731925/mediarouting.vestahub.com/Media/140602728?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"35 Central Park North, 1K, Manhattan, NY 10026",SOUTH HARLEM,APARTMENT BUILDING,2500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7731923/mediarouting.vestahub.com/Media/140600380?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"2-17 51st Avenue, 214, Queens, NY 11101",LONG ISLAND CITY,CONDO,5500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7731920/mediarouting.vestahub.com/Media/140596222?w=3840&q=75,1,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
